input_set_id,prior_spl_id,latest_spl_id,prior_is_plr_from_01,latest_is_plr_from_01,both_are_plr_from_01,prior_is_plr_from_xml,latest_is_plr_from_xml,keep_pair_both_plr,prior_contraindications_sections,prior_warnings_sections,prior_adverse_reactions_sections,prior_drug_interactions_sections,latest_contraindications_sections,latest_warnings_sections,latest_adverse_reactions_sections,latest_drug_interactions_sections
d1468c0f-dd4f-4d38-a84c-c1d110303965,cdff7813-7b00-4f61-a017-18ab8910d49d,4bbe9ad8-075c-216b-e063-6294a90a1024,True,True,True,True,True,True,1,1,1,0,1,2,1,1
3c1e31d4-c8b5-459e-9ada-2f1bae7fa219,2c3cfba9-854e-4a94-96ee-16614b6433c7,3d59ff86-ea36-40b2-8f75-1cdfb41cd3e6,True,True,True,True,True,True,1,2,4,1,1,1,4,1
8406b8e3-e203-402f-8858-2748119e2351,d44c110b-890e-67a2-e053-2a95a90a6a03,4c94d725-7d0f-41ea-b853-b292af783896,True,True,True,True,True,True,1,1,3,1,1,1,3,1
0344268f-d8e6-48d5-b1e1-f750ed1d8a52,e07af86f-aea6-5a91-e053-2a95a90a3795,4bac7b98-8e95-1e51-e063-6294a90ab1cc,True,True,True,True,True,True,1,3,4,1,1,2,5,1
4b9a20c4-46f2-d572-e063-6294a90a30ad,8cdb3181-3666-48aa-a197-fb3a1e082e74,4ba8699f-9367-245a-e063-6294a90a1377,True,True,True,True,True,True,1,1,1,1,1,1,1,1
c9809dfe-939e-4f9d-b6dd-f9808fd9f2b1,e844a4cf-bbac-21a0-e053-2995a90a1f6c,4ba688dd-17ac-975f-e063-6394a90aef14,True,True,True,True,True,True,1,1,3,1,1,2,2,1
defc1205-8e90-4b1e-b862-05e4c35c7364,528a86ce-1037-944a-e934-15846984dd73,0676036e-ee33-47ed-ac04-f83503ff2771,True,True,True,True,True,True,1,1,5,1,1,2,4,2
bfee67dc-d2b1-4a00-92d9-a42be3189c74,12e0dcb9-e210-413b-9c77-cdeccd600e82,4b921bb1-ab2e-af6a-e063-6294a90a0694,True,True,True,True,True,True,1,1,4,1,1,2,7,2
4a2cf456-58c5-c26d-e063-6294a90a0b24,d6cf6571-ae8c-4084-8ae9-8ee613b68f7a,4b83d234-e0e2-501c-e063-6394a90a8171,True,True,True,True,True,True,1,1,4,1,1,1,4,1
205291ba-86a7-43e1-be47-bc75df1921f9,872365ca-0c2b-550a-e053-2a91aa0ab25a,4b7daf77-d3f7-0b55-e063-6394a90a84fc,True,True,True,True,True,True,1,1,1,1,1,1,2,2
dc65065b-cba0-46d7-8fb5-3368f3210b4d,2f692050-7ea1-49b8-a19d-3b0134b7aa2a,7e91bdf3-12b0-4816-b607-6c42b9d99df7,True,True,True,True,True,True,1,1,2,1,1,1,2,1
4b4af7e0-f35b-9bf6-e063-6294a90a83b9,8cdb3181-3666-48aa-a197-fb3a1e082e74,4b4af7e9-ed37-6c24-e063-6394a90a3c86,True,True,True,True,True,True,1,1,1,1,1,1,1,1
c0d705bf-b719-4c7b-b83d-c17d41cbbfad,ba26436d-7009-476f-23b0-45676a0e7805,4b4696c5-89bf-9c39-e063-6294a90aebc1,True,True,True,True,True,True,1,2,4,1,1,2,4,1
587e6bb5-a665-4396-814e-ce893a20290b,cb524718-e675-acbc-5250-09a04d10c214,4b3f1ed8-151c-79f2-e063-6394a90ada00,True,True,True,True,True,True,1,1,3,1,1,1,3,1
bd46de4c-4571-ba9a-e053-2a95a90a792d,9c595e63-08b4-3358-e053-2995a90a54c4,4b354727-eaee-119f-e063-6394a90afd77,True,True,True,True,True,True,1,1,1,1,1,1,2,1
